Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,,
1,0,0.014672463,0.004027287,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.16208563,0.187271794,0.203120975,,,13.2052167
1,1,0.014672463,0.004870773,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.164248271,0.190277921,0.207204633,,,
1,2,0.014672463,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.151717106,0.172875983,0.177843288,,,
1,3,0.015295634,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.153097842,0.174879891,0.175866514,,,
1,4,0.017812652,0.00041749,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171793317,0.202996289,0.194315413,,,
1,5,0.042081756,0.013268809,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.258851573,0.327174968,0.316279174,,,
1,6,0.047340546,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.311030979,0.407594423,0.394129308,,,
1,7,0.076555818,0.011691192,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.523928474,0.728930947,0.660297688,,,
1,8,0.074791531,0.014306489,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526720242,0.732573725,0.694258631,,,
1,9,0.071560326,0.016371794,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524832668,0.729520251,0.764728591,,,
1,10,0.071457288,0.018150653,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.529171212,0.735534617,0.714554851,,,
1,11,0.069038364,0.016891166,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.520542151,0.723227144,0.801561098,,,
1,12,0.071528591,0.020098641,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.534326386,0.742709081,0.823328244,,,
1,13,0.071598346,0.023601366,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.543482332,0.755437507,0.811681065,,,
1,14,0.071748089,0.031418731,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.563911107,0.783833391,0.857633922,,,
1,15,0.074319969,0.041692041,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.596046375,0.82881385,0.910069472,,,
1,16,0.068373607,0.034064488,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.515087472,0.708335372,0.657973348,,,
1,17,0.058578203,0.018454252,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.405034446,0.546931046,0.560047237,,,
1,18,0.060518853,0.012452294,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.393914028,0.53174932,0.597344078,,,
1,19,0.053344253,0.011118147,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.326404351,0.429785239,0.425569992,,,
1,20,0.052480319,0.010840666,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.323761561,0.426001035,0.444946629,,,
1,21,0.017812587,0.004598063,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.182435746,0.217819226,0.198434636,,,
1,22,0.015295634,0.005050872,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165965685,0.192798606,0.221096948,,,
1,23,0.014672463,0.004997239,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.16443439,0.190590507,0.189149337,,,
2,0,0.014672462,0.004958287,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165389975,0.191507138,0.192451476,,,
2,1,0.014672462,0.006537791,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.169445235,0.197141902,0.1983083,,,
2,2,0.014672462,0.004917161,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165271578,0.191347616,0.173119311,,,
2,3,0.015295634,0.001854685,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.158777377,0.18241411,0.187030917,,,
2,4,0.017812651,0.000139163,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171987965,0.20291261,0.173726036,,,
2,5,0.043149191,0.012325416,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.259711955,0.328159392,0.288597768,,,
2,6,0.048624222,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.314798541,0.41264566,0.383390012,,,
2,7,0.076640756,0.01156471,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524702638,0.729663568,0.806394865,,,
2,8,0.073994585,0.013918115,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.524858064,0.729526227,0.716849035,,,
2,9,0.071449732,0.016889589,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526828325,0.73192311,0.758574256,,,
2,10,0.071569395,0.019429374,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.533619227,0.74137346,0.756348394,,,
2,11,0.069099853,0.018056521,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.52458599,0.728497828,0.722644877,,,
2,12,0.072157642,0.02088636,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.538662444,0.74846191,0.832309077,,,
2,13,0.072669149,0.022935299,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.545063336,0.757423248,0.742473999,,,
2,14,0.073056828,0.025448147,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.552381521,0.76764196,0.7198972,,,
2,15,0.075733708,0.027365482,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.563263706,0.783118359,0.823450104,,,
2,16,0.069004914,0.023937602,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.491362423,0.675114744,0.620454926,,,
2,17,0.058209116,0.01720742,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.401917136,0.542197817,0.597150728,,,
2,18,0.059575719,0.014176149,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.397157912,0.535773926,0.595890822,,,
2,19,0.053013745,0.012143754,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.329216329,0.433292316,0.397916552,,,
2,20,0.052054568,0.011563613,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.325583274,0.428119943,0.37479628,,,
2,21,0.021078309,0.005119475,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.191955732,0.231126345,0.216905607,,,
2,22,0.016815745,0.007389454,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.176273,0.206964615,0.221436228,,,
2,23,0.018922863,0.00392079,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.172037293,0.201367361,0.195524925,,,
3,0,0.014672462,0.005024241,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.165407847,0.191590964,0.168693151,,,
3,1,0.014672462,0.003327531,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.161038558,0.185524966,0.167144748,,,
3,2,0.015766861,0.003697298,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.164418983,0.190369557,0.175565932,,,
3,3,0.017444761,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.158640006,0.182571181,0.19751718,,,
3,4,0.017812651,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171478391,0.202263872,0.183083999,,,
3,5,0.041689692,0.01342718,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.259144774,0.327234474,0.353494758,,,
3,6,0.046841152,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.310678048,0.406742098,0.372994493,,,
3,7,0.076428183,0.013166781,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.528197376,0.734547803,0.819899234,,,
3,8,0.074285443,0.016602835,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.532257298,0.739901039,0.807133165,,,
3,9,0.071388764,0.019131347,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.532305418,0.739580992,0.762063827,,,
3,10,0.071428916,0.021052222,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.53732786,0.746564461,0.682502441,,,
3,11,0.068954564,0.019146945,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526914827,0.7317718,0.826819381,,,
3,12,0.071734527,0.024114896,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.545870894,0.758475781,0.868099962,,,
3,13,0.071988047,0.032829428,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.568837657,0.790410595,0.698777331,,,
3,14,0.072174713,0.04529076,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.601290244,0.835511181,0.876528289,,,
3,15,0.07481113,0.056196573,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.635195594,0.882958761,0.825318521,,,
3,16,0.068530381,0.039198302,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.529396278,0.727934765,0.696032964,,,
3,17,0.058343548,0.016120755,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.399270352,0.538598801,0.500282978,,,
3,18,0.059569879,0.012663652,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.393103911,0.530201587,0.466007422,,,
3,19,0.052880907,0.011249186,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.326468614,0.429517196,0.491417652,,,
3,20,0.052091182,0.010974761,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.323998855,0.425983286,0.435626334,,,
3,21,0.017812587,0.004549356,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.183069121,0.218403893,0.223265631,,,
3,22,0.015295634,0.004348224,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.164917494,0.191047766,0.17706538,,,
3,23,0.019285688,0.004105057,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.173166976,0.203044136,0.181327052,,,
4,0,0.014672462,0.003788719,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.162079065,0.187026661,0.185900257,,,
4,1,0.014672462,0.000135099,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.152677721,0.173971697,0.190710313,,,
4,2,0.014672462,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.152324003,0.17348288,0.195563153,,,
4,3,0.015295634,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.153704739,0.175486787,0.173827952,,,
4,4,0.017812651,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171326668,0.202112149,0.195207567,,,
4,5,0.042104158,0.014057755,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.261537049,0.330671791,0.305423304,,,
4,6,0.046186806,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.309069875,0.404479579,0.35701083,,,
4,7,0.075467498,0.014070386,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.52823091,0.734524257,0.743596463,,,
4,8,0.074894119,0.016032835,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.531994656,0.739677074,0.831244811,,,
4,9,0.072015878,0.017942153,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.530491603,0.737205098,0.731907604,,,
4,10,0.071569975,0.019781913,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.534223596,0.742330947,0.75366642,,,
4,11,0.068986804,0.017988116,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.523855014,0.727585398,0.726863922,,,
4,12,0.071333283,0.020016544,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.534287459,0.74239275,0.825928808,,,
4,13,0.07132876,0.020666847,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.535943279,0.74469435,0.739388147,,,
4,14,0.071476271,0.02284816,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.541874378,0.752954273,0.713873166,,,
4,15,0.074081203,0.023236346,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.548664322,0.762737334,0.658239473,,,
4,16,0.0683455,0.019704481,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.478706075,0.657565861,0.584533956,,,
4,17,0.058878448,0.014589258,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.396371076,0.534702928,0.56827206,,,
4,18,0.060361752,0.012411731,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.394066944,0.531704572,0.542430647,,,
4,19,0.052390768,0.010884269,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.324287578,0.426481103,0.445751917,,,
4,20,0.050788004,0.010550397,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.319855284,0.420112173,0.363344583,,,
4,21,0.017812587,0.003368874,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.179881871,0.214036162,0.201525965,,,
4,22,0.015295634,0.001641875,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.157806589,0.181230512,0.176701277,,,
4,23,0.014672462,0.000278327,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.152906941,0.174344145,0.174327811,,,
5,0,0.014672462,0.004454095,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.163638311,0.189251283,0.192306369,,,
5,1,0.014672462,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.1521786,0.173337477,0.154256081,,,
5,2,0.014672462,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.152172278,0.173331155,0.169700391,,,
5,3,0.015295634,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.153553015,0.175335064,0.186830501,,,
5,4,0.017812652,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171174943,0.201960424,0.230940807,,,
5,5,0.040997478,0.013974643,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.258708355,0.326653305,0.348632703,,,
5,6,0.045426423,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.307225686,0.401875007,0.456252096,,,
5,7,0.074981612,0.013606059,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.525803714,0.731146848,0.740220542,,,
5,8,0.07500146,0.015928357,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.531813195,0.739498475,0.646039855,,,
5,9,0.07173139,0.016783564,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526727432,0.731997849,0.670587371,,,
5,10,0.071265089,0.017179889,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.526702339,0.731902781,0.746437513,,,
5,11,0.06896855,0.015960221,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.518448075,0.72013231,0.640390558,,,
5,12,0.071523656,0.018624223,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.530979215,0.737882558,0.696459256,,,
5,13,0.071657188,0.01822482,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.530243075,0.736880547,0.629213767,,,
5,14,0.071806883,0.019525327,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.533914105,0.742001779,0.823976986,,,
5,15,0.074341611,0.021123882,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.543660167,0.755881123,0.824140196,,,
5,16,0.068374294,0.017686409,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.473429113,0.65029962,0.627788085,,,
5,17,0.058653703,0.012815837,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.391158885,0.52749257,0.560103273,,,
5,18,0.060106158,0.011623972,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.391320653,0.527914929,0.606313811,,,
5,19,0.053325596,0.010642827,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.325595749,0.42848266,0.463711676,,,
5,20,0.052198519,0.010435336,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.322547222,0.424099565,0.459475262,,,
5,21,0.017812587,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.171067328,0.201852744,0.23149444,,,
5,22,0.015295634,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.1534329,0.175214948,0.165102725,,,
5,23,0.014672462,0.00041749,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.153113066,0.174689433,0.172249081,,,
6,0,0.012131241,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.146376931,0.164994587,0.15177027,,,
6,1,0.012131241,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.146370608,0.164988264,0.144625445,,,
6,2,0.012131241,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.146364287,0.164981943,0.141257335,,,
6,3,0.012754412,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.147745024,0.166985851,0.155363856,,,
6,4,0.01400082,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.150512964,0.171000198,0.194660583,,,
6,5,0.04431694,0.013968913,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.265930376,0.337189059,0.337711959,,,
6,6,0.043946202,0.010304409,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.255675852,0.322899293,0.27534267,,,
6,7,0.057037974,0.010544581,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.381633706,0.514080406,0.481421506,,,
6,8,0.054778127,0.011446318,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.378916157,0.510004747,0.46943757,,,
6,9,0.052027738,0.011952623,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.37408993,0.502934437,0.445664386,,,
6,10,0.051951472,0.012585571,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.375541433,0.504942621,0.576340508,,,
6,11,0.051696983,0.012945861,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.375895127,0.505402116,0.498187823,,,
6,12,0.051536965,0.012257287,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.37376202,0.502420418,0.448845335,,,
6,13,0.038942262,0.011797655,0,0.002776841,0.003332209,0.002670039,0,0,0,0.010680156,0.260359427,0.330558588,0.293970057,,,
6,14,0.03901582,0.012202463,0,0.002776841,0.003332209,0.002670039,0,0,0,0.010680156,0.261557768,0.332235295,0.295987954,,,
6,15,0.041590006,0.012106245,0,0.002776841,0.003332209,0.002670039,0,0,0,0.010680156,0.267033667,0.340189163,0.35251953,,,
6,16,0.039922535,0.012101598,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.239252217,0.297762765,0.284289569,,,
6,17,0.028183351,0.007241455,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.200619232,0.242530453,0.210333531,,,
6,18,0.020148978,0.006513461,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.180857966,0.214006819,0.241516559,,,
6,19,0.01943505,0.003608587,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.171792906,0.201322959,0.209095819,,,
6,20,0.016722342,0.000278327,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.157185093,0.180672177,0.168236975,,,
6,21,0.014000755,0.000139163,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.150763196,0.171389529,0.168391074,,,
6,22,0.012754412,0.004520329,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.159248613,0.18300977,0.20298289,,,
6,23,0.012131241,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.146231528,0.164849184,0.159518591,,,
7,0,0.01213122,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.146225159,0.164842794,0.157212857,,,
7,1,0.01213122,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.146218837,0.164836471,0.166706371,,,
7,2,0.01213122,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.146212514,0.164830149,0.169995085,,,
7,3,0.012754391,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.147593252,0.166834058,0.168005497,,,
7,4,0.014000798,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.150361191,0.170848404,0.166569178,,,
7,5,0.015186575,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.152994178,0.174667167,0.177903142,,,
7,6,0.035072336,0.002393231,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.203403734,0.247355715,0.233368644,,,
7,7,0.03491896,0.006077746,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.212530494,0.260013615,0.295463744,,,
7,8,0.035834462,0.008116687,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.219804895,0.270242459,0.28618912,,,
7,9,0.030942103,0.00675358,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.205403996,0.249586094,0.228947925,,,
7,10,0.03395783,0.008310161,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.216112737,0.264867144,0.276902044,,,
7,11,0.031611114,0.00699545,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.207502391,0.252595369,0.260284385,,,
7,12,0.034886984,0.008702346,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.219176685,0.26925243,0.298200216,,,
7,13,0.032267886,0.007219098,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.209526691,0.255500089,0.250607008,,,
7,14,0.035037255,0.008856139,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.219893983,0.270273792,0.26980411,,,
7,15,0.034467495,0.00716618,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.214273877,0.262393967,0.288373625,,,
7,16,0.038814247,0.008541347,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.227478728,0.281320737,0.300018203,,,
7,17,0.035459287,0.006818256,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.215574109,0.264338067,0.301631904,,,
7,18,0.036609531,0.008143603,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.221536043,0.272775592,0.297784265,,,
7,19,0.028233627,0.006658647,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.19906812,0.240446809,0.276491606,,,
7,20,0.025887154,0.007334815,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.195577721,0.235286105,0.212489658,,,
7,21,0.016607801,0.00581753,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.171015766,0.199927512,0.219727321,,,
7,22,0.012754391,0.004916348,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.160115173,0.184272327,0.211033338,,,
7,23,0.01213122,0.004055083,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.156507112,0.179179829,0.202565527,,,
