LoadID,Priority,Consumption,LoadType,Site,Controller,Devider,Controller_Max,Multiplayer
PCT1,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT2,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT3,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT4,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT5,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT6,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT7,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT8,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT9,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PCT10,3,1500,BuildingC,GLEAMM,BuildingC,10,5000,1000
PPT1,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT2,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT3,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT4,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT5,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT6,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT7,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT8,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT9,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PPT10,2,1500,BuildingP,GLEAMM,BuildingP,10,5000,1000
PIT1,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT2,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT3,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT4,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT5,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT6,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT7,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT8,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT9,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
PIT10,1,1500,BuildingI,GLEAMM,BuildingI,10,5000,1000
L4PT1,1,1500,L4,GLEAMM,L4,10,5000,1000
L4PT2,1,1500,L4,GLEAMM,L4,10,5000,1000
L4PT3,2,1500,L4,GLEAMM,L4,10,5000,1000
L4PT4,2,1500,L4,GLEAMM,L4,10,5000,1000
L4PT5,3,1500,L4,GLEAMM,L4,10,5000,1000
L4PT6,3,1500,L4,GLEAMM,L4,10,5000,1000
L4PT7,3,1500,L4,GLEAMM,L4,10,5000,1000
power,1,100,w1,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,1,100,w2,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,1,100,w3,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,1,100,w4,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,1,100,w5,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,3,100,w6,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,2,100,w7,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,2,100,w8,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,2,100,w9,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,2,100,w10,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,1,100,w11,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,1,100,w12,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,3,100,w13,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,3,100,w14,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,3,100,w15,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1
power,3,100,w16,NIRE_WeMo_cc_1,NIRE_WeMo_cc_1,1000,200,1